z,point_estimate,lower_ci,upper_ci
0,0.056307877,0.047570617,0.073817063
0.1,0.062171092,0.051918278,0.082807429
0.2,0.068713415,0.056852654,0.092598596
0.3,0.076021058,0.062472691,0.103221851
0.4,0.084186055,0.068889641,0.114704632
0.5,0.093304968,0.076227338,0.127069884
0.6,0.103476986,0.084621847,0.14033544
0.7,0.114801363,0.094220223,0.154513427
0.8,0.127374121,0.105178071,0.169609722
0.9,0.141284046,0.117655528,0.185623467
1,0.156608071,0.131811479,0.20254665
1.1,0.173406232,0.147795709,0.22036378
1.2,0.191716532,0.165739112,0.23905165
1.3,0.211550116,0.18574227,0.258579215
1.4,0.232887256,0.207621546,0.278907572
1.5,0.255674666,0.230561058,0.29999007
1.6,0.279824578,0.254347926,0.321772537
1.644854,0.291068449,0.265264851,0.331754226
1.7,0.3052159,0.278856014,0.344193631
1.8,0.331697514,0.303856864,0.36718531
1.9,0.359093542,0.329453363,0.390673425
1.959964,0.375879808,0.344997423,0.404963064
2,0.387210129,0.355423322,0.414578407
2.1,0.415843109,0.381519599,0.440200788
2.2,0.44478583,0.407745673,0.467426941
2.3,0.473836417,0.434306652,0.495108589
2.4,0.502803904,0.461099426,0.52402506
2.5,0.531512864,0.487710196,0.552771559
2.575829,0.553013328,0.507596758,0.574463373
2.6,0.559806389,0.513843934,0.581499293
2.7,0.587547486,0.539711209,0.61061497
2.8,0.614619134,0.565539104,0.63973504
2.9,0.640923305,0.591353191,0.667922086
3,0.666379322,0.61695718,0.694690714
3.1,0.690921879,0.642057705,0.720010803
3.2,0.714498996,0.666502121,0.743878006
3.290527,0.734975986,0.688027849,0.764243138
3.3,0.737070107,0.690252696,0.76630682
3.4,0.758604415,0.713242395,0.78732485
3.5,0.77907956,0.735566578,0.806968368
3.6,0.798480608,0.757195807,0.825279103
3.7,0.816799324,0.777736918,0.842302099
3.8,0.834033684,0.797415783,0.85808439
3.890592,0.848713625,0.814204275,0.871351152
3.9,0.850187553,0.815891664,0.872674283
4,0.865270457,0.833260307,0.886175915
4.1,0.879297409,0.84963867,0.898679035
4.2,0.892288728,0.864883401,0.910221073
4.3,0.904269818,0.879074156,0.9208062
4.4,0.915270885,0.892215699,0.930492179
4.5,0.925326586,0.904321907,0.939329903
4.6,0.934475591,0.915393269,0.947303795
4.7,0.942760087,0.925422259,0.954401071
4.8,0.950225216,0.934528443,0.960738762
4.9,0.956918472,0.942789691,0.966386109
5,0.962889068,0.95017438,0.971371719
5.1,0.9681873,0.95682743,0.975745976
5.2,0.972863911,0.962793822,0.979578016
5.3,0.976969491,0.968114854,0.98289729
5.4,0.980553899,0.972833055,0.985738316
5.5,0.983665752,0.976991695,0.988154081
5.6,0.986351962,0.98061982,0.990215458
5.7,0.988657343,0.983727875,0.991966646
5.8,0.990624287,0.986411442,0.993434267
5.9,0.992292515,0.988669796,0.994666204
6,0.993698895,0.990591684,0.995692203
6.1,0.994877337,0.992233947,0.996538455
6.2,0.995858739,0.993627765,0.99723788
6.3,0.996671008,0.994802437,0.997812878
6.4,0.997339122,0.995788257,0.998279793
6.5,0.997885241,0.996610236,0.998657223
6.6,0.998328849,0.997276635,0.998957337
6.7,0.998686932,0.997817879,0.999194046
6.8,0.998974168,0.998256732,0.99937949
6.9,0.999203132,0.998615005,0.999524144
7,0.999384507,0.998905527,0.999636502
7.1,0.999527289,0.999138737,0.999723411
7.2,0.999638995,0.999322417,0.999790357
7.3,0.999725849,0.999468346,0.999841773
7.4,0.999792968,0.999585149,0.999881092
7.5,0.999844521,0.999677492,0.999911004
7.6,0.99988388,0.999748631,0.999933695
7.7,0.999913749,0.999803635,0.999950908
7.8,0.999936282,0.999846907,0.99996381
7.9,0.999953182,0.999880988,0.999973441
8,0.999965784,0.999907857,0.999980623
8.1,0.999975126,0.999928952,0.999985926
8.2,0.999982013,0.999945443,0.999989847
8.3,0.999987061,0.999958279,0.999992709
8.4,0.99999074,0.999968228,0.999994787
8.5,0.999993408,0.999975906,0.999996291
8.6,0.999995331,0.999981806,0.999997377
8.7,0.999996709,0.999986319,0.999998152
8.8,0.999997693,0.999989757,0.999998703
8.9,0.99999839,0.999992365,0.999999094
9,0.999998883,0.999994333,0.999994333
9.1,1,1,1
9.2,1,1,1
9.3,1,1,1
9.4,1,1,1
9.5,1,1,1
9.6,1,1,1
9.7,1,1,1
9.8,1,1,1
9.9,1,1,1
10,1,1,1
