z,point_estimate,lower_ci,upper_ci
0,0.356564611,0.296050429,0.389960829
0.1,0.355714369,0.295804381,0.388728035
0.2,0.353185104,0.295067494,0.385064574
0.3,0.34904017,0.29384352,0.379073495
0.4,0.343381781,0.292138677,0.370920921
0.5,0.336346192,0.2899616,0.360828025
0.6,0.328097414,0.287323261,0.349060569
0.7,0.318819884,0.284236884,0.335916696
0.8,0.308710546,0.280717827,0.321713768
0.9,0.297970845,0.276783463,0.3067779
1,0.286799079,0.272453028,0.293619591
1.1,0.275383533,0.265793469,0.283490714
1.2,0.263896705,0.256178869,0.275170377
1.3,0.252490858,0.245263887,0.267021841
1.4,0.241294997,0.231302699,0.25930768
1.5,0.230413308,0.217674818,0.251445011
1.6,0.219924939,0.204892448,0.24371804
1.7,0.209884982,0.193025689,0.236206535
1.8,0.200326433,0.182107319,0.22850385
1.9,0.191262869,0.172137434,0.220675335
2,0.182691587,0.16308885,0.212865157
2.1,0.17459696,0.154912889,0.205530381
2.2,0.166953779,0.14754511,0.198387064
2.3,0.159730403,0.140910724,0.191185877
2.4,0.152891583,0.134929457,0.183952971
2.5,0.146400859,0.129519689,0.176713652
2.6,0.140222501,0.124601808,0.169492242
2.7,0.134322963,0.120100758,0.162311956
2.8,0.128671896,0.115947826,0.155194797
2.9,0.123242752,0.112009532,0.148161463
3,0.118013047,0.107680194,0.141231269
3.1,0.11296435,0.102519184,0.134422082
3.2,0.108082056,0.097439661,0.127750279
3.3,0.103355028,0.092642385,0.121230708
3.4,0.098775144,0.0875487,0.11498712
3.5,0.094336809,0.082508617,0.109173025
3.6,0.090036458,0.077829043,0.103798174
3.7,0.085872095,0.073491137,0.098636984
3.8,0.081842858,0.069284381,0.093867123
3.9,0.077948651,0.065328328,0.089365857
4,0.07418983,0.061388333,0.08512343
4.1,0.070566939,0.057668098,0.081211469
4.2,0.067080508,0.054194805,0.077495532
4.3,0.063730901,0.050981115,0.0739272
4.4,0.060518198,0.048027659,0.07045598
4.5,0.057442121,0.045314191,0.067075285
4.6,0.054501987,0.042691559,0.063906079
4.7,0.051696686,0.040159231,0.06085371
4.8,0.049024675,0.037771667,0.057990587
4.9,0.04648399,0.035554063,0.055381383
5,0.044072266,0.033443931,0.052928105
5.1,0.041786765,0.031466347,0.050678264
5.2,0.039624409,0.029637326,0.048551413
5.3,0.037581821,0.027883517,0.046485718
5.4,0.035655355,0.026238162,0.044478258
5.5,0.033841145,0.024678457,0.042622884
5.6,0.032135136,0.023192295,0.040959936
5.7,0.030533124,0.021759464,0.039375563
5.8,0.029030795,0.020424512,0.037942883
5.9,0.027623755,0.019208896,0.036612341
6,0.026307564,0.018103872,0.035310538
6.1,0.025077768,0.01710104,0.034037119
6.2,0.023929923,0.016177766,0.032835953
6.3,0.022859624,0.015326301,0.031688645
6.4,0.021862524,0.014556131,0.030566062
6.5,0.020934356,0.013826126,0.029493478
6.6,0.02007095,0.013122296,0.028545132
6.7,0.019268251,0.012435572,0.027652925
6.8,0.018522327,0.011738975,0.026786298
6.9,0.017829385,0.011069746,0.025991953
7,0.017185778,0.010423215,0.025286884
7.1,0.016588008,0.009824911,0.024654395
7.2,0.016032739,0.009221337,0.024099905
7.3,0.015516793,0.008639505,0.023561904
7.4,0.015037157,0.00809426,0.023031044
7.5,0.014590981,0.007597444,0.022507037
7.6,0.014175576,0.007134548,0.021989676
7.7,0.013788417,0.006698338,0.021478817
7.8,0.013427134,0.006267448,0.02097437
7.9,0.013089514,0.005762966,0.020476286
8,0.012773493,0.005261578,0.01998455
8.1,0.012477151,0.004799083,0.019499172
8.2,0.012198711,0.004373021,0.019020183
8.3,0.011936527,0.003981031,0.018547629
8.4,0.011689081,0.003620858,0.018081564
8.5,0.011454978,0.003290347,0.017622051
8.6,0.011232937,0.002987446,0.017170734
8.7,0.011021786,0.002710205,0.016727543
8.8,0.010820455,0.002456777,0.016290981
8.9,0.010627968,0.002225412,0.015861794
9,0.010443442,0.002014459,0.015457093
