es,var,study,se,z,count,w
-0.269,0.012987013,Head et al. 2005,0.113960577,-2.360465419,6,0.166666667
0.02,0.012987013,Head et al. 2005,0.113960577,0.175499288,6,0.166666667
0.787,0.012987013,Head et al. 2005,0.113960577,6.905896969,6,0.166666667
0.162,0.012987013,Head et al. 2005,0.113960577,1.42154423,6,0.166666667
-0.1,0.012987013,Head et al. 2005,0.113960577,-0.877496438,6,0.166666667
-0.033,0.012987013,Head et al. 2005,0.113960577,-0.289573825,6,0.166666667
1.346,0.111111111,Ryder and Siva-Jothy 2001,0.333333333,4.038000002,2,0.5
1.472,0.111111111,Ryder and Siva-Jothy 2001,0.333333333,4.416000002,2,0.5
-0.46,0.022727273,Collins et al. 1999,0.150755673,-3.051294789,3,0.333333333
0.03,0.022727273,Collins et al. 1999,0.150755673,0.198997486,3,0.333333333
0.31,0.022727273,Collins et al. 1999,0.150755673,2.056307358,3,0.333333333
0.083,0.034482759,Jia et al. 1997,0.185695339,0.446968677,19,0.052631579
-1.373,0.090909091,Jia et al. 1997,0.301511345,-4.553725835,19,0.052631579
-0.316,0.111111111,Jia et al. 1997,0.333333333,-0.948,19,0.052631579
0.183,0.023255814,Jia et al. 1997,0.15249857,1.200011249,19,0.052631579
-0.074,0.052631579,Jia et al. 1997,0.229415734,-0.322558522,19,0.052631579
0.031,0.034482759,Jia et al. 1997,0.185695339,0.166940108,19,0.052631579
-3.8,0.090909091,Jia et al. 1997,0.301511345,-12.6031742,19,0.052631579
-0.938,0.090909091,Jia et al. 1997,0.301511345,-3.110994052,19,0.052631579
-0.553,0.090909091,Jia et al. 1997,0.301511345,-1.834093508,19,0.052631579
-0.641,0.111111111,Jia et al. 1997,0.333333333,-1.923000001,19,0.052631579
-0.483,0.111111111,Jia et al. 1997,0.333333333,-1.449000001,19,0.052631579
-0.353,0.111111111,Jia et al. 1997,0.333333333,-1.059000001,19,0.052631579
0.406,0.023255814,Jia et al. 1997,0.15249857,2.662320038,19,0.052631579
